Date,Region,Salesperson,Product,Cost,Units Sold,Unit Price
22/02/2025 00:00,South,Ada,Printer,8429,15,15000
23/02/2025 00:00,North,Efe,Mouse,8429,18,120000
21/04/2025 00:00,West,Bola,Monitor,8429,10,5000
22/02/2025 00:00,West,Ada,Headset,7779,12,80000
21/04/2025 00:00,North,Chidi,Monitor,7779,10,15000
22/02/2025 00:00,North,Musa,Laptop,7130,12,5000
18/04/2025 00:00,North,Efe,Printer,7130,19,10000
20/02/2025 00:00,East,Bola,Monitor,6480,7,350000
17/04/2025 00:00,North,Grace,Mouse,6480,1,350000
20/02/2025 00:00,East,Chidi,Monitor,5830,4,350000
16/04/2025 00:00,North,Musa,Keyboard,5830,2,10000
19/02/2025 00:00,West,Ada,Headset,5181,11,15000
14/04/2025 00:00,North,Ada,Laptop,5181,4,80000
18/02/2025 00:00,North,Chidi,Headset,4531,4,10000
14/04/2025 00:00,North,Ada,Mouse,4531,12,80000
17/02/2025 00:00,East,Musa,Printer,3881,13,350000
14/04/2025 00:00,East,Grace,Headset,3881,16,80000
17/02/2025 00:00,North,Musa,Monitor,3232,16,10000
13/04/2025 00:00,East,Musa,Laptop,3232,4,5000
21/01/2025 00:00,East,Bola,Laptop,2582,9,350000
14/02/2025 00:00,East,Chidi,Mouse,2582,19,80000
22/03/2025 00:00,North,Chidi,Headset,2582,19,5000
13/04/2025 00:00,East,Ada,Headset,2582,17,5000
02/05/2025 00:00,South,Efe,Mouse,2582,7,5000
26/05/2025 00:00,North,Chidi,Monitor,2582,12,80000
11/06/2025 00:00,North,Grace,Keyboard,2582,3,80000
21/06/2025 00:00,East,Musa,Printer,2582,5,120000
18/01/2025 00:00,South,Ada,Monitor,1932,4,120000
13/02/2025 00:00,West,Ada,Printer,1932,3,120000
22/03/2025 00:00,South,Grace,Laptop,1932,9,5000
11/04/2025 00:00,North,Ada,Headset,1932,9,120000
27/04/2025 00:00,North,Ada,Headset,1932,18,5000
19/05/2025 00:00,South,Efe,Printer,1932,15,80000
10/06/2025 00:00,North,Grace,Mouse,1932,13,120000
21/06/2025 00:00,South,Ada,Laptop,1932,5,15000
15/01/2025 00:00,West,Musa,Keyboard,1282,14,15000
10/02/2025 00:00,East,Musa,Mouse,1282,10,80000
16/03/2025 00:00,East,Chidi,Mouse,1282,4,80000
10/04/2025 00:00,East,Musa,Printer,1282,5,350000
16/05/2025 00:00,South,Ada,Mouse,1282,5,15000
07/06/2025 00:00,West,Ada,Laptop,1282,5,120000
19/06/2025 00:00,East,Chidi,Keyboard,1282,17,5000
15/01/2025 00:00,North,Bola,Monitor,633,2,80000
10/02/2025 00:00,South,Bola,Printer,633,1,80000
14/03/2025 00:00,South,Efe,Keyboard,633,7,350000
09/04/2025 00:00,South,Grace,Headset,633,10,350000
16/05/2025 00:00,West,Musa,Headset,633,1,350000
06/06/2025 00:00,West,Bola,Printer,633,5,15000
16/06/2025 00:00,West,Ada,Monitor,633,9,5000
15/01/2025 00:00,South,Chidi,Headset,17,5,10000
09/02/2025 00:00,West,Musa,Printer,17,17,15000
13/03/2025 00:00,North,Musa,Keyboard,17,5,15000
05/04/2025 00:00,East,Efe,Monitor,17,8,10000
15/05/2025 00:00,North,Musa,Printer,17,9,10000
03/06/2025 00:00,North,Bola,Mouse,17,2,10000
13/06/2025 00:00,East,Chidi,Mouse,17,7,5000
15/01/2025 00:00,North,Bola,Keyboard,667,13,350000
07/02/2025 00:00,East,Efe,Printer,667,17,15000
13/03/2025 00:00,South,Efe,Keyboard,667,4,80000
03/04/2025 00:00,East,Musa,Headset,667,3,80000
15/05/2025 00:00,East,Ada,Printer,667,17,5000
01/06/2025 00:00,South,Efe,Printer,667,17,15000
12/06/2025 00:00,West,Efe,Keyboard,667,5,120000
29/06/2025 00:00,South,Chidi,Mouse,667,1,15000
02/01/2025 00:00,East,Chidi,Headset,1000,7,350000
21/01/2025 00:00,East,Chidi,Monitor,1000,3,350000
23/02/2025 00:00,South,Efe,Monitor,1000,11,120000
23/03/2025 00:00,East,Ada,Monitor,1000,1,10000
03/05/2025 00:00,East,Chidi,Headset,1000,15,15000
14/01/2025 00:00,North,Chidi,Laptop,1300,18,80000
04/02/2025 00:00,West,Grace,Monitor,1300,12,15000
06/03/2025 00:00,East,Grace,Headset,1300,12,120000
31/03/2025 00:00,South,Bola,Printer,1300,13,15000
12/05/2025 00:00,East,Chidi,Laptop,1300,1,15000
30/05/2025 00:00,West,Musa,Mouse,1300,1,350000
11/06/2025 00:00,North,Efe,Keyboard,1300,16,15000
24/06/2025 00:00,East,Chidi,Laptop,1300,2,5000
08/01/2025 00:00,South,Musa,Headset,1500,16,350000
28/01/2025 00:00,North,Musa,Monitor,1500,8,10000
01/03/2025 00:00,South,Bola,Laptop,1500,16,5000
29/03/2025 00:00,East,Chidi,Printer,1500,19,120000
10/05/2025 00:00,West,Efe,Monitor,1500,10,80000
09/01/2025 00:00,West,Ada,Mouse,2000,1,80000
02/02/2025 00:00,East,Chidi,Mouse,2000,3,15000
03/03/2025 00:00,South,Chidi,Headset,2000,16,5000
30/03/2025 00:00,South,Efe,Headset,2000,4,15000
11/05/2025 00:00,West,Ada,Printer,2000,17,80000
05/01/2025 00:00,South,Musa,Monitor,2100,13,5000
24/01/2025 00:00,North,Grace,Laptop,2100,12,15000
28/02/2025 00:00,East,Efe,Laptop,2100,12,80000
29/03/2025 00:00,East,Ada,Headset,2100,13,120000
10/05/2025 00:00,North,Chidi,Headset,2100,5,10000
