ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,City,Age,Purchased Bike,Tax
12496,M,F,"$40,000.00 ",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,"New York City, New York",42,No,4000
24107,M,M,"$30,000.00 ",3,Partial College,Clerical,Yes,1,0-1 Miles,"New York City, New York",43,No,5000
14177,M,M,"$80,000.00 ",5,Partial College,Professional,No,2,2-5 Miles,"New York City, New York",60,No,2342
24381,S,M,"$70,000.00 ",0,Bachelors,Professional,Yes,1,5-10 Miles,"Los Angeles, California",41,Yes,4051
25597,S,M,"$30,000.00 ",0,Bachelors,Clerical,No,0,0-1 Miles,"New York City, New York",36,Yes,3274
13507,M,F,"$10,000.00 ",2,Partial College,Manual,Yes,0,1-2 Miles,"New York City, New York",50,No,2029
27974,S,M,"$160,000.00 ",2,High School,Management,Yes,4,0-1 Miles,"Los Angeles, California",33,Yes,4018
19364,M,M,"$40,000.00 ",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,"New York City, New York",43,Yes,3838
22155,M,M,"$20,000.00 ",2,Partial High School,Clerical,Yes,2,5-10 Miles,"Los Angeles, California",58,No,3159
19280,M,M,"$120,000.00 ",2,Partial College,Manual,Yes,1,0-1 Miles,"New York City, New York",40,Yes,2050
22173,M,F,"$30,000.00 ",3,High School,Skilled Manual,No,2,1-2 Miles,"Los Angeles, California",54,Yes,4540
12697,S,F,"$90,000.00 ",0,Bachelors,Professional,No,4,10+ Miles,"Los Angeles, California",36,No,1191
11434,M,M,"$170,000.00 ",5,Partial College,Professional,Yes,0,0-1 Miles,"New York City, New York",55,No,4928
25323,M,M,"$40,000.00 ",2,Partial College,Clerical,Yes,1,1-2 Miles,"New York City, New York",35,Yes,2656
23542,S,M,"$60,000.00 ",1,Partial College,Skilled Manual,No,1,0-1 Miles,"Los Angeles, California",45,Yes,1362
20870,S,F,"$10,000.00 ",2,High School,Manual,Yes,1,0-1 Miles,"New York City, New York",38,Yes,2542
23316,S,M,"$30,000.00 ",3,Partial College,Clerical,No,2,1-2 Miles,"Los Angeles, California",59,Yes,4077
12610,M,F,"$30,000.00 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,"New York City, New York",47,No,4888
27183,S,M,"$40,000.00 ",2,Partial College,Clerical,Yes,1,1-2 Miles,"New York City, New York",35,Yes,4572
25940,S,M,"$20,000.00 ",2,Partial High School,Clerical,Yes,2,5-10 Miles,"Los Angeles, California",55,Yes,4611
25598,M,F,"$40,000.00 ",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,"New York City, New York",36,Yes,3926
21564,S,F,"$80,000.00 ",0,Bachelors,Professional,Yes,4,10+ Miles,"Los Angeles, California",35,No,1473
19193,S,M,"$40,000.00 ",2,Partial College,Clerical,Yes,0,1-2 Miles,"New York City, New York",35,Yes,3660
26412,M,F,"$80,000.00 ",5,High School,Management,No,3,5-10 Miles,"New York City, New York",56,No,2304
27184,S,M,"$40,000.00 ",2,Partial College,Clerical,No,1,0-1 Miles,"New York City, New York",34,No,3786
12590,S,M,"$30,000.00 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,"New York City, New York",63,No,3496
17841,S,M,"$30,000.00 ",0,Partial College,Clerical,No,1,0-1 Miles,"New York City, New York",29,Yes,4477
18283,S,F,"$100,000.00 ",0,Bachelors,Professional,No,1,5-10 Miles,"Los Angeles, California",40,No,3548
18299,M,M,"$70,000.00 ",5,Partial College,Skilled Manual,Yes,2,5-10 Miles,"Los Angeles, California",44,No,2018
16466,S,F,"$20,000.00 ",0,Partial High School,Manual,No,2,0-1 Miles,"New York City, New York",32,Yes,1623
19273,M,F,"$20,000.00 ",2,Partial College,Manual,Yes,0,0-1 Miles,"New York City, New York",63,No,2099
22400,M,M,"$10,000.00 ",0,Partial College,Manual,No,1,0-1 Miles,"Los Angeles, California",26,Yes,3913
20942,S,F,"$20,000.00 ",0,High School,Manual,No,1,5-10 Miles,"New York City, New York",31,No,3378
18484,S,M,"$80,000.00 ",2,High School,Skilled Manual,No,2,1-2 Miles,"Los Angeles, California",50,Yes,1938
12291,S,M,"$90,000.00 ",5,Partial College,Professional,No,2,2-5 Miles,"New York City, New York",62,Yes,4536
28380,S,F,"$10,000.00 ",5,Partial High School,Manual,No,2,0-1 Miles,"New York City, New York",41,No,4890
17891,M,F,"$10,000.00 ",2,Partial College,Manual,Yes,1,0-1 Miles,"New York City, New York",50,Yes,2806
27832,S,F,"$30,000.00 ",0,Partial College,Clerical,No,1,2-5 Miles,"New York City, New York",30,No,2250
26863,S,M,"$20,000.00 ",0,High School,Manual,No,1,2-5 Miles,"New York City, New York",28,No,1950
16259,S,F,"$10,000.00 ",4,Partial High School,Manual,Yes,2,0-1 Miles,"New York City, New York",40,Yes,4529
27803,S,F,"$30,000.00 ",2,Partial College,Clerical,No,0,0-1 Miles,"New York City, New York",43,No,3527
14347,S,F,"$40,000.00 ",2,Bachelors,Management,Yes,2,5-10 Miles,"Los Angeles, California",65,Yes,1091
17703,M,F,"$10,000.00 ",1,Graduate Degree,Manual,Yes,0,0-1 Miles,"New York City, New York",40,No,3471
17185,M,F,"$170,000.00 ",4,Partial College,Professional,No,3,5-10 Miles,"New York City, New York",48,Yes,3119
29380,M,F,"$20,000.00 ",3,High School,Manual,Yes,0,0-1 Miles,"New York City, New York",41,Yes,3923
23986,M,F,"$20,000.00 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,"New York City, New York",66,Yes,3674
24466,M,F,"$60,000.00 ",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,"Los Angeles, California",46,Yes,4653
29097,S,F,"$40,000.00 ",2,Partial College,Skilled Manual,Yes,2,5-10 Miles,"Los Angeles, California",52,Yes,2637
19487,M,M,"$30,000.00 ",2,Partial College,Clerical,No,2,0-1 Miles,"New York City, New York",42,No,1630
14939,S,M,"$40,000.00 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,"New York City, New York",39,Yes,4833
13826,S,F,"$30,000.00 ",0,Partial College,Clerical,No,1,0-1 Miles,"New York City, New York",28,No,1893
20619,S,M,"$80,000.00 ",0,Bachelors,Professional,No,4,10+ Miles,"Los Angeles, California",35,No,3992
12558,M,F,"$20,000.00 ",1,Bachelors,Clerical,Yes,0,0-1 Miles,"New York City, New York",65,No,3420
24871,S,F,"$90,000.00 ",4,High School,Management,No,3,5-10 Miles,"New York City, New York",56,No,2882
17319,S,F,"$70,000.00 ",0,Bachelors,Professional,No,1,5-10 Miles,"Los Angeles, California",42,No,2378
28906,M,M,"$80,000.00 ",4,High School,Professional,Yes,2,10+ Miles,"New York City, New York",54,No,1742
12808,M,M,"$40,000.00 ",0,Bachelors,Clerical,Yes,0,0-1 Miles,"New York City, New York",38,Yes,3989
20567,M,M,"$130,000.00 ",4,Partial College,Professional,No,4,5-10 Miles,"New York City, New York",61,Yes,1130
